city,year,party,tot_invest,administration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest
,,,,,,,,,,,,,,,
como,2008,PDL,"INVESTIMENTI 14,7 milioni ","INVESTIMENTI 2,4 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 4,8 milioni ","INVESTIMENTI 3,0 milioni ","INVESTIMENTI 1,3 milioni ",INVESTIMENTI 967638 ,INVESTIMENTI 894340 ,INVESTIMENTI 723 ,INVESTIMENTI 79938 ,INVESTIMENTI 0 ,INVESTIMENTI 157241 ,INVESTIMENTI 31476 
,,,,,,,,,,,,,,,
como,2009,PDL,"INVESTIMENTI 13,5 milioni ","INVESTIMENTI 2,4 milioni ",INVESTIMENTI 725773 ,"INVESTIMENTI 5,4 milioni ","INVESTIMENTI 3,0 milioni ",INVESTIMENTI 938240 ,INVESTIMENTI 523895 ,INVESTIMENTI 274793 ,INVESTIMENTI 252 ,INVESTIMENTI 32207 ,INVESTIMENTI 0 ,INVESTIMENTI 152075 ,INVESTIMENTI 43648 
,,,,,,,,,,,,,,,
como,2010,PDL,"INVESTIMENTI 11,9 milioni ","INVESTIMENTI 1,9 milioni ",INVESTIMENTI 360351 ,"INVESTIMENTI 5,4 milioni ","INVESTIMENTI 2,4 milioni ",INVESTIMENTI 870598 ,INVESTIMENTI 559794 ,INVESTIMENTI 211533 ,INVESTIMENTI 69059 ,INVESTIMENTI 25857 ,INVESTIMENTI 0 ,INVESTIMENTI 79315 ,INVESTIMENTI 29685 
,,,,,,,,,,,,,,,
como,2011,PDL,"INVESTIMENTI 8,8 milioni ",INVESTIMENTI 616418 ,INVESTIMENTI 257117 ,"INVESTIMENTI 2,4 milioni ","INVESTIMENTI 3,0 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 433299 ,INVESTIMENTI 54594 ,INVESTIMENTI 28 ,INVESTIMENTI 261527 ,INVESTIMENTI 0 ,INVESTIMENTI 245940 ,INVESTIMENTI 3613 
,,,,,,,,,,,,,,,
como,2012,more_party,"INVESTIMENTI 6,9 milioni ","INVESTIMENTI 2,0 milioni ",INVESTIMENTI 607893 ,"INVESTIMENTI 1,9 milioni ",INVESTIMENTI 638102 ,INVESTIMENTI 524645 ,INVESTIMENTI 593970 ,INVESTIMENTI 99395 ,INVESTIMENTI 59410 ,INVESTIMENTI 240924 ,INVESTIMENTI 0 ,INVESTIMENTI 214892 ,INVESTIMENTI 51309 
,,,,,,,,,,,,,,,
como,2013,PD,"INVESTIMENTI 7,5 milioni ","INVESTIMENTI 1,7 milioni ",INVESTIMENTI 201844 ,"INVESTIMENTI 1,4 milioni ","INVESTIMENTI 2,5 milioni ",INVESTIMENTI 467175 ,INVESTIMENTI 318383 ,INVESTIMENTI 16387 ,INVESTIMENTI 4228 ,INVESTIMENTI 701404 ,INVESTIMENTI 0 ,INVESTIMENTI 227488 ,INVESTIMENTI 132 
,,,,,,,,,,,,,,,
como,2014,PD,"INVESTIMENTI 11,3 milioni ","INVESTIMENTI 4,0 milioni ",INVESTIMENTI 354849 ,"INVESTIMENTI 2,5 milioni ","INVESTIMENTI 1,8 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 364698 ,INVESTIMENTI 205995 ,INVESTIMENTI 43313 ,INVESTIMENTI 761675 ,INVESTIMENTI 19185 ,INVESTIMENTI 21111 ,INVESTIMENTI 21997 
,,,,,,,,,,,,,,,
cosenza,2005,DS,"INVESTIMENTI 18,9 milioni ","INVESTIMENTI 12,2 milioni ",INVESTIMENTI 717473 ,"INVESTIMENTI 4,1 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 402530 ,INVESTIMENTI 14847 ,INVESTIMENTI 235356 ,INVESTIMENTI 0 ,INVESTIMENTI 18967 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2006,more_party,"INVESTIMENTI 16,4 milioni ","INVESTIMENTI 4,4 milioni ",INVESTIMENTI 484410 ,"INVESTIMENTI 7,0 milioni ","INVESTIMENTI 3,2 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 203525 ,INVESTIMENTI 17401 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2007,PD,"INVESTIMENTI 15,5 milioni ","INVESTIMENTI 7,8 milioni ",INVESTIMENTI 687073 ,"INVESTIMENTI 3,6 milioni ","INVESTIMENTI 1,7 milioni ",INVESTIMENTI 845417 ,INVESTIMENTI 159247 ,INVESTIMENTI 728913 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2008,PD,"INVESTIMENTI 13,2 milioni ","INVESTIMENTI 3,9 milioni ",INVESTIMENTI 942372 ,"INVESTIMENTI 5,9 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 704866 ,INVESTIMENTI 39916 ,INVESTIMENTI 173768 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2009,PD,"INVESTIMENTI 17,0 milioni ","INVESTIMENTI 2,6 milioni ",INVESTIMENTI 588689 ,"INVESTIMENTI 11,2 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 123175 ,INVESTIMENTI 816997 ,INVESTIMENTI 169405 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2010,PD,"INVESTIMENTI 16,6 milioni ","INVESTIMENTI 6,2 milioni ","INVESTIMENTI 1,0 milioni ","INVESTIMENTI 5,2 milioni ","INVESTIMENTI 2,7 milioni ",INVESTIMENTI 779752 ,INVESTIMENTI 517097 ,INVESTIMENTI 141925 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2011,more_party,"INVESTIMENTI 10,0 milioni ","INVESTIMENTI 3,8 milioni ",INVESTIMENTI 681450 ,"INVESTIMENTI 4,0 milioni ",INVESTIMENTI 424021 ,INVESTIMENTI 465780 ,INVESTIMENTI 575831 ,INVESTIMENTI 21338 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2012,UDC,"INVESTIMENTI 15,6 milioni ","INVESTIMENTI 4,0 milioni ",INVESTIMENTI 945683 ,"INVESTIMENTI 8,1 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 414292 ,INVESTIMENTI 888299 ,INVESTIMENTI 5005 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2013,UDC,"INVESTIMENTI 16,5 milioni ","INVESTIMENTI 6,1 milioni ",INVESTIMENTI 914636 ,"INVESTIMENTI 6,8 milioni ","INVESTIMENTI 1,8 milioni ",INVESTIMENTI 279208 ,INVESTIMENTI 682151 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cosenza,2014,UDC,"INVESTIMENTI 27,8 milioni ","INVESTIMENTI 6,6 milioni ","INVESTIMENTI 1,0 milioni ","INVESTIMENTI 16,9 milioni ","INVESTIMENTI 1,8 milioni ",INVESTIMENTI 3298 ,"INVESTIMENTI 1,3 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 35770 
,,,,,,,,,,,,,,,
cremona,2005,DS,"INVESTIMENTI 14,2 milioni ","INVESTIMENTI 4,0 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 4,9 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 486213 ,INVESTIMENTI 318692 ,"INVESTIMENTI 1,5 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 33962 ,INVESTIMENTI 701 ,INVESTIMENTI 49150 ,INVESTIMENTI 125912 
,,,,,,,,,,,,,,,
cremona,2006,DS,"INVESTIMENTI 18,2 milioni ","INVESTIMENTI 3,4 milioni ","INVESTIMENTI 1,5 milioni ","INVESTIMENTI 4,3 milioni ","INVESTIMENTI 3,6 milioni ","INVESTIMENTI 1,0 milioni ",INVESTIMENTI 256741 ,INVESTIMENTI 867081 ,INVESTIMENTI 129197 ,INVESTIMENTI 0 ,INVESTIMENTI 280844 ,INVESTIMENTI 109646 ,"INVESTIMENTI 2,7 milioni "
,,,,,,,,,,,,,,,
cremona,2007,DS,"INVESTIMENTI 88,3 milioni ","INVESTIMENTI 69,7 milioni ",INVESTIMENTI 767167 ,"INVESTIMENTI 5,4 milioni ","INVESTIMENTI 7,5 milioni ",INVESTIMENTI 971691 ,INVESTIMENTI 453471 ,"INVESTIMENTI 1,1 milioni ",INVESTIMENTI 73169 ,INVESTIMENTI 392941 ,INVESTIMENTI 188275 ,INVESTIMENTI 30607 ,"INVESTIMENTI 1,7 milioni "
,,,,,,,,,,,,,,,
cremona,2008,DS,"INVESTIMENTI 63,6 milioni ","INVESTIMENTI 49,2 milioni ",INVESTIMENTI 910814 ,"INVESTIMENTI 3,5 milioni ","INVESTIMENTI 2,5 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 459070 ,INVESTIMENTI 958923 ,INVESTIMENTI 36423 ,"INVESTIMENTI 3,0 milioni ",INVESTIMENTI 532 ,INVESTIMENTI 76504 ,"INVESTIMENTI 1,4 milioni "
,,,,,,,,,,,,,,,
cremona,2009,more_party,"INVESTIMENTI 52,7 milioni ","INVESTIMENTI 12,8 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 12,3 milioni ","INVESTIMENTI 17,0 milioni ","INVESTIMENTI 2,2 milioni ","INVESTIMENTI 1,4 milioni ","INVESTIMENTI 4,6 milioni ",INVESTIMENTI 20055 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 87825 ,"INVESTIMENTI 1,2 milioni "
,,,,,,,,,,,,,,,
cremona,2010,PDL,"INVESTIMENTI 14,1 milioni ","INVESTIMENTI 2,8 milioni ",INVESTIMENTI 622272 ,"INVESTIMENTI 4,2 milioni ","INVESTIMENTI 1,7 milioni ",INVESTIMENTI 386231 ,INVESTIMENTI 372319 ,INVESTIMENTI 774082 ,INVESTIMENTI 1486 ,"INVESTIMENTI 3,1 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 84008 ,INVESTIMENTI 70229 
,,,,,,,,,,,,,,,
cremona,2011,PDL,"INVESTIMENTI 10,9 milioni ","INVESTIMENTI 2,9 milioni ",INVESTIMENTI 423122 ,"INVESTIMENTI 3,8 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 844665 ,INVESTIMENTI 276141 ,INVESTIMENTI 606133 ,INVESTIMENTI 0 ,INVESTIMENTI 468848 ,INVESTIMENTI 0 ,INVESTIMENTI 9436 ,INVESTIMENTI 7478 
,,,,,,,,,,,,,,,
cremona,2012,PDL,"INVESTIMENTI 11,6 milioni ","INVESTIMENTI 1,7 milioni ",INVESTIMENTI 689149 ,"INVESTIMENTI 3,5 milioni ","INVESTIMENTI 4,5 milioni ",INVESTIMENTI 300993 ,INVESTIMENTI 120882 ,INVESTIMENTI 622574 ,INVESTIMENTI 0 ,INVESTIMENTI 10913 ,INVESTIMENTI 48351 ,INVESTIMENTI 45141 ,INVESTIMENTI 10858 
,,,,,,,,,,,,,,,
cremona,2013,PDL,"INVESTIMENTI 27,1 milioni ","INVESTIMENTI 1,8 milioni ","INVESTIMENTI 3,1 milioni ","INVESTIMENTI 8,2 milioni ","INVESTIMENTI 11,7 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 363974 ,INVESTIMENTI 715967 ,INVESTIMENTI 0 ,INVESTIMENTI 10794 ,INVESTIMENTI 0 ,INVESTIMENTI 30131 ,INVESTIMENTI 15331 
,,,,,,,,,,,,,,,
cremona,2014,more_party,"INVESTIMENTI 20,8 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 1,6 milioni ","INVESTIMENTI 5,7 milioni ","INVESTIMENTI 7,9 milioni ","INVESTIMENTI 3,2 milioni ",INVESTIMENTI 42794 ,INVESTIMENTI 81696 ,INVESTIMENTI 0 ,INVESTIMENTI 24494 ,INVESTIMENTI 0 ,INVESTIMENTI 29997 ,INVESTIMENTI 35153 
,,,,,,,,,,,,,,,
crotone,2005,AN,"INVESTIMENTI 14,3 milioni ","INVESTIMENTI 3,5 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 7,3 milioni ",INVESTIMENTI 495054 ,"INVESTIMENTI 1,3 milioni ",INVESTIMENTI 38368 ,INVESTIMENTI 3000 ,INVESTIMENTI 0 ,INVESTIMENTI 244378 ,INVESTIMENTI 0 ,INVESTIMENTI 92862 ,INVESTIMENTI 4172 
,,,,,,,,,,,,,,,
crotone,2006,more_party,"INVESTIMENTI 11,8 milioni ","INVESTIMENTI 2,2 milioni ",INVESTIMENTI 201721 ,"INVESTIMENTI 7,6 milioni ",INVESTIMENTI 177261 ,INVESTIMENTI 892869 ,INVESTIMENTI 21265 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 48117 ,INVESTIMENTI 0 ,INVESTIMENTI 93853 ,INVESTIMENTI 560573 
,,,,,,,,,,,,,,,
crotone,2007,PD,"INVESTIMENTI 9,5 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 569769 ,"INVESTIMENTI 6,6 milioni ",INVESTIMENTI 17293 ,INVESTIMENTI 565015 ,INVESTIMENTI 141461 ,INVESTIMENTI 2520 ,INVESTIMENTI 0 ,INVESTIMENTI 78506 ,INVESTIMENTI 0 ,INVESTIMENTI 68885 ,INVESTIMENTI 793 
,,,,,,,,,,,,,,,
crotone,2008,PD,"INVESTIMENTI 12,4 milioni ","INVESTIMENTI 3,2 milioni ",INVESTIMENTI 488194 ,"INVESTIMENTI 8,2 milioni ",INVESTIMENTI 95958 ,INVESTIMENTI 194351 ,INVESTIMENTI 88258 ,INVESTIMENTI 211650 ,INVESTIMENTI 0 ,INVESTIMENTI 500 ,INVESTIMENTI 0 ,INVESTIMENTI 22365 ,INVESTIMENTI 500 
,,,,,,,,,,,,,,,
crotone,2009,PD,"INVESTIMENTI 9,7 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 97939 ,"INVESTIMENTI 7,6 milioni ",INVESTIMENTI 154044 ,INVESTIMENTI 60971 ,INVESTIMENTI 8874 ,INVESTIMENTI 616842 ,INVESTIMENTI 0 ,INVESTIMENTI 1000 ,INVESTIMENTI 0 ,INVESTIMENTI 31325 ,INVESTIMENTI 1000 
,,,,,,,,,,,,,,,
crotone,2010,PD,"INVESTIMENTI 13,2 milioni ","INVESTIMENTI 4,6 milioni ",INVESTIMENTI 534473 ,"INVESTIMENTI 6,2 milioni ",INVESTIMENTI 619672 ,INVESTIMENTI 270262 ,INVESTIMENTI 137738 ,INVESTIMENTI 753790 ,INVESTIMENTI 0 ,INVESTIMENTI 947 ,INVESTIMENTI 0 ,INVESTIMENTI 12198 ,INVESTIMENTI 4094 
,,,,,,,,,,,,,,,
crotone,2011,more_party,"INVESTIMENTI 10,2 milioni ","INVESTIMENTI 2,2 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 4,9 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 209675 ,INVESTIMENTI 312855 ,INVESTIMENTI 59202 ,INVESTIMENTI 0 ,INVESTIMENTI 1500 ,INVESTIMENTI 0 ,INVESTIMENTI 10992 ,INVESTIMENTI 300 
,,,,,,,,,,,,,,,
crotone,2012,PD,"INVESTIMENTI 12,0 milioni ","INVESTIMENTI 4,4 milioni ",INVESTIMENTI 781198 ,"INVESTIMENTI 5,1 milioni ","INVESTIMENTI 1,3 milioni ",INVESTIMENTI 14579 ,INVESTIMENTI 76842 ,INVESTIMENTI 185086 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 133586 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
crotone,2013,PD,"INVESTIMENTI 11,9 milioni ","INVESTIMENTI 6,9 milioni ","INVESTIMENTI 1,7 milioni ","INVESTIMENTI 2,6 milioni ",INVESTIMENTI 368212 ,INVESTIMENTI 42379 ,INVESTIMENTI 12022 ,INVESTIMENTI 110176 ,INVESTIMENTI 0 ,INVESTIMENTI 206466 ,INVESTIMENTI 0 ,INVESTIMENTI 76622 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
crotone,2014,PD,"INVESTIMENTI 14,3 milioni ","INVESTIMENTI 8,6 milioni ",INVESTIMENTI 926350 ,"INVESTIMENTI 3,2 milioni ","INVESTIMENTI 1,3 milioni ",INVESTIMENTI 275726 ,INVESTIMENTI 2380 ,INVESTIMENTI 3241 ,INVESTIMENTI 0 ,INVESTIMENTI 2067 ,INVESTIMENTI 0 ,INVESTIMENTI 92598 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
cuneo,2005,DS,"INVESTIMENTI 15,5 milioni ","INVESTIMENTI 2,1 milioni ",INVESTIMENTI 975170 ,"INVESTIMENTI 2,6 milioni ","INVESTIMENTI 2,8 milioni ","INVESTIMENTI 2,3 milioni ","INVESTIMENTI 2,4 milioni ",INVESTIMENTI 550142 ,INVESTIMENTI 150000 ,INVESTIMENTI 616351 ,INVESTIMENTI 582841 ,INVESTIMENTI 30959 ,INVESTIMENTI 376745 
,,,,,,,,,,,,,,,
cuneo,2006,DS,"INVESTIMENTI 13,6 milioni ","INVESTIMENTI 2,5 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 2,7 milioni ","INVESTIMENTI 1,7 milioni ","INVESTIMENTI 1,6 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 790994 ,INVESTIMENTI 8074 ,INVESTIMENTI 0 ,INVESTIMENTI 44320 ,INVESTIMENTI 901106 
,,,,,,,,,,,,,,,
cuneo,2007,more_party,"INVESTIMENTI 21,1 milioni ","INVESTIMENTI 3,9 milioni ","INVESTIMENTI 5,9 milioni ","INVESTIMENTI 2,6 milioni ","INVESTIMENTI 4,5 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 616950 ,INVESTIMENTI 0 ,INVESTIMENTI 268858 ,INVESTIMENTI 0 ,INVESTIMENTI 10998 ,"INVESTIMENTI 1,1 milioni "
,,,,,,,,,,,,,,,
cuneo,2008,PD,"INVESTIMENTI 17,1 milioni ","INVESTIMENTI 1,4 milioni ","INVESTIMENTI 1,6 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 3,2 milioni ","INVESTIMENTI 7,4 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 522717 ,INVESTIMENTI 0 ,INVESTIMENTI 69535 ,INVESTIMENTI 0 ,INVESTIMENTI 45470 ,INVESTIMENTI 43023 
,,,,,,,,,,,,,,,
cuneo,2009,PD,"INVESTIMENTI 16,7 milioni ","INVESTIMENTI 5,5 milioni ","INVESTIMENTI 3,4 milioni ","INVESTIMENTI 1,9 milioni ","INVESTIMENTI 2,8 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 1,3 milioni ",INVESTIMENTI 427278 ,INVESTIMENTI 0 ,INVESTIMENTI 38819 ,INVESTIMENTI 0 ,INVESTIMENTI 79333 ,INVESTIMENTI 27738 
,,,,,,,,,,,,,,,
cuneo,2010,PD,"INVESTIMENTI 14,3 milioni ","INVESTIMENTI 5,0 milioni ",INVESTIMENTI 730045 ,"INVESTIMENTI 2,7 milioni ","INVESTIMENTI 2,4 milioni ",INVESTIMENTI 674620 ,"INVESTIMENTI 1,5 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 128280 ,INVESTIMENTI 16577 ,INVESTIMENTI 0 ,INVESTIMENTI 15821 ,INVESTIMENTI 7245 
,,,,,,,,,,,,,,,
cuneo,2011,PD,"INVESTIMENTI 10,0 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 2,1 milioni ",INVESTIMENTI 373954 ,"INVESTIMENTI 3,1 milioni ",INVESTIMENTI 551355 ,INVESTIMENTI 11594 ,INVESTIMENTI 60402 ,INVESTIMENTI 0 ,INVESTIMENTI 124809 ,INVESTIMENTI 53525 
,,,,,,,,,,,,,,,
cuneo,2012,more_party,"INVESTIMENTI 12,9 milioni ","INVESTIMENTI 2,9 milioni ",INVESTIMENTI 765371 ,"INVESTIMENTI 3,2 milioni ","INVESTIMENTI 3,5 milioni ",INVESTIMENTI 702662 ,INVESTIMENTI 620829 ,"INVESTIMENTI 1,1 milioni ",INVESTIMENTI 6367 ,INVESTIMENTI 48279 ,INVESTIMENTI 0 ,INVESTIMENTI 54175 ,INVESTIMENTI 6355 
,,,,,,,,,,,,,,,
cuneo,2013,UDC,"INVESTIMENTI 10,6 milioni ",INVESTIMENTI 710061 ,INVESTIMENTI 501108 ,"INVESTIMENTI 3,0 milioni ","INVESTIMENTI 2,4 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 345713 ,"INVESTIMENTI 2,0 milioni ",INVESTIMENTI 47727 ,INVESTIMENTI 8883 ,INVESTIMENTI 0 ,INVESTIMENTI 100772 ,INVESTIMENTI 39408 
,,,,,,,,,,,,,,,
cuneo,2014,UDC,"INVESTIMENTI 9,1 milioni ",INVESTIMENTI 624852 ,INVESTIMENTI 399193 ,"INVESTIMENTI 4,8 milioni ",INVESTIMENTI 973992 ,INVESTIMENTI 254890 ,INVESTIMENTI 421527 ,"INVESTIMENTI 1,6 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 17182 ,INVESTIMENTI 0 ,INVESTIMENTI 1830 ,INVESTIMENTI 40963 
,,,,,,,,,,,,,,,
enna,2005,DL,"INVESTIMENTI 1,8 milioni ",INVESTIMENTI 27727 ,INVESTIMENTI 21531 ,INVESTIMENTI 804912 ,INVESTIMENTI 632032 ,INVESTIMENTI 136032 ,INVESTIMENTI 83811 ,INVESTIMENTI 112825 ,INVESTIMENTI 0 ,INVESTIMENTI 303 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 1147 
,,,,,,,,,,,,,,,
enna,2006,DL,INVESTIMENTI 771100 ,INVESTIMENTI 191682 ,INVESTIMENTI 0 ,INVESTIMENTI 88639 ,INVESTIMENTI 192081 ,INVESTIMENTI 256813 ,INVESTIMENTI 9610 ,INVESTIMENTI 32275 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
enna,2007,DL,"INVESTIMENTI 2,0 milioni ",INVESTIMENTI 163079 ,INVESTIMENTI 0 ,INVESTIMENTI 361833 ,INVESTIMENTI 311658 ,INVESTIMENTI 302467 ,INVESTIMENTI 0 ,INVESTIMENTI 889735 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
enna,2008,DL,"INVESTIMENTI 2,6 milioni ",INVESTIMENTI 372960 ,INVESTIMENTI 0 ,INVESTIMENTI 170945 ,INVESTIMENTI 550002 ,INVESTIMENTI 148562 ,INVESTIMENTI 48832 ,"INVESTIMENTI 1,1 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 41760 ,INVESTIMENTI 0 ,INVESTIMENTI 29924 ,INVESTIMENTI 83930 
,,,,,,,,,,,,,,,
enna,2009,DL,"INVESTIMENTI 2,7 milioni ",INVESTIMENTI 366397 ,INVESTIMENTI 1176 ,INVESTIMENTI 76502 ,INVESTIMENTI 563820 ,INVESTIMENTI 421255 ,INVESTIMENTI 32005 ,"INVESTIMENTI 1,2 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 270 ,INVESTIMENTI 0 ,INVESTIMENTI 1549 ,INVESTIMENTI 10341 
,,,,,,,,,,,,,,,
enna,2010,more_party,"INVESTIMENTI 3,0 milioni ",INVESTIMENTI 608855 ,INVESTIMENTI 1800 ,INVESTIMENTI 464308 ,INVESTIMENTI 885711 ,INVESTIMENTI 676251 ,INVESTIMENTI 97778 ,INVESTIMENTI 143042 ,INVESTIMENTI 0 ,INVESTIMENTI 60132 ,INVESTIMENTI 0 ,INVESTIMENTI 8071 ,INVESTIMENTI 12000 
,,,,,,,,,,,,,,,
enna,2011,PD,"INVESTIMENTI 1,2 milioni ",INVESTIMENTI 688362 ,INVESTIMENTI 7920 ,INVESTIMENTI 25816 ,INVESTIMENTI 47160 ,INVESTIMENTI 88758 ,INVESTIMENTI 57562 ,INVESTIMENTI 62953 ,INVESTIMENTI 5500 ,INVESTIMENTI 212950 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 23000 
,,,,,,,,,,,,,,,
enna,2012,PD,INVESTIMENTI 888904 ,INVESTIMENTI 250001 ,INVESTIMENTI 104835 ,INVESTIMENTI 94740 ,INVESTIMENTI 186364 ,INVESTIMENTI 105165 ,INVESTIMENTI 0 ,INVESTIMENTI 139668 ,INVESTIMENTI 0 ,INVESTIMENTI 1680 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 6451 
,,,,,,,,,,,,,,,
enna,2013,PD,"INVESTIMENTI 1,5 milioni ",INVESTIMENTI 690043 ,INVESTIMENTI 59020 ,INVESTIMENTI 241065 ,INVESTIMENTI 265301 ,INVESTIMENTI 154306 ,INVESTIMENTI 0 ,INVESTIMENTI 43748 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 33917 ,INVESTIMENTI 31535 
,,,,,,,,,,,,,,,
enna,2014,PD,"INVESTIMENTI 2,1 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 7419 ,INVESTIMENTI 469653 ,INVESTIMENTI 424327 ,INVESTIMENTI 118267 ,INVESTIMENTI 0 ,INVESTIMENTI 14486 ,INVESTIMENTI 280 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 11468 ,INVESTIMENTI 698 
,,,,,,,,,,,,,,,
fermo,2005,FI,"INVESTIMENTI 11,9 milioni ","INVESTIMENTI 1,8 milioni ",INVESTIMENTI 443900 ,"INVESTIMENTI 2,6 milioni ","INVESTIMENTI 2,7 milioni ","INVESTIMENTI 2,6 milioni ",INVESTIMENTI 950406 ,INVESTIMENTI 697555 ,INVESTIMENTI 0 ,INVESTIMENTI 16824 ,INVESTIMENTI 9524 ,INVESTIMENTI 43335 ,INVESTIMENTI 198 
,,,,,,,,,,,,,,,
