year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2005,16.99,5.79,52.9,15.44,1.51,0.81,0.77,0.0,3.67,0.0,0.0,2.02,Left
2006,33.77,4.75,44.59,11.08,2.16,1.31,0.21,0.0,1.59,0.0,0.0,0.54,Left
2007,12.36,6.55,50.91,14.55,9.09,0.04,1.13,0.0,5.45,0.0,0.0,0.01,Left
2008,15.42,2.28,49.77,10.28,5.84,0.0,0.31,0.0,15.42,0.0,0.0,0.71,Left
2010,3.47,9.62,59.62,10.58,9.62,2.28,0.0,0.58,2.83,0.0,0.65,0.0,Left
2011,9.03,26.47,54.41,1.51,9.87,0.15,0.0,0.0,0.0,0.0,0.0,0.0,Left
2012,18.64,33.9,37.29,2.11,4.22,0.57,0.0,0.0,3.45,0.0,0.76,0.0,Left
2013,15.91,16.67,37.88,25.0,1.9,0.0,0.0,0.0,3.64,0.0,0.0,0.0,Left
2005,60.8,6.39,2.98,11.36,8.81,4.26,2.41,0.0,0.07,2.13,0.82,0.01,Left
2006,52.76,6.36,4.38,17.82,10.18,4.81,1.08,0.0,0.19,2.12,0.21,0.05,Left
2007,67.65,2.19,4.48,15.74,4.59,2.3,1.2,0.0,0.13,1.09,0.72,0.05,Left
2008,70.32,0.94,4.68,11.48,4.59,3.06,0.7,0.0,0.33,2.81,0.63,0.52,Left
2010,66.67,0.99,5.2,15.59,6.99,1.43,1.24,0.0,0.5,0.01,0.37,1.02,Left
2011,38.99,4.46,14.29,16.96,18.15,2.65,2.15,0.0,0.13,0.36,0.42,1.32,Left
2012,19.01,3.87,18.31,24.3,21.83,4.93,5.99,0.0,0.45,0.0,0.68,0.3,Left
2013,32.53,1.7,13.58,19.09,18.95,3.39,6.51,0.0,1.56,0.28,1.1,1.27,Left
2005,12.0,14.0,22.0,34.0,2.68,0.0,16.0,0.0,0.0,0.0,0.0,0.03,Left
2006,33.81,7.91,6.29,29.5,0.63,0.0,18.71,0.0,0.0,0.0,0.0,2.74,Left
2008,0.6,18.03,8.29,55.74,0.01,0.0,5.52,0.0,10.8,0.0,0.0,0.0,Left
2009,2.73,6.24,5.09,25.56,1.5,0.0,58.65,0.0,0.01,0.0,0.0,0.0,Left
2010,0.91,7.15,26.79,45.54,9.82,0.57,9.82,0.0,0.0,0.0,0.0,0.0,Left
2011,1.4,8.57,8.6,51.89,15.09,0.03,14.15,0.0,0.0,0.0,0.0,0.0,Left
2013,2.87,10.78,25.49,44.12,14.71,0.01,1.0,0.0,0.0,0.0,0.0,0.37,Right
2014,0.89,20.0,5.69,23.75,26.25,9.77,15.0,0.0,0.0,0.0,0.0,0.0,Right
2005,59.08,0.57,6.76,27.98,1.82,0.61,1.14,0.01,0.94,0.0,0.0,1.11,Left
2006,51.34,0.71,8.83,30.49,2.78,0.96,1.01,0.0,0.66,0.0,0.0,3.33,Left
2008,54.14,0.99,5.54,31.02,2.51,4.67,0.26,0.0,0.76,0.0,0.03,0.11,Left
2009,51.47,1.56,8.13,33.11,2.53,1.64,0.26,0.0,0.98,0.0,0.08,0.21,Left
2010,62.5,2.72,7.23,23.04,2.11,1.25,0.24,0.09,0.72,0.0,0.1,0.01,Left
2011,35.4,3.09,10.72,44.12,2.89,2.47,0.21,0.05,0.56,0.0,0.29,0.23,Left
2013,56.54,1.85,6.87,28.86,2.44,2.58,0.03,0.0,0.59,0.0,0.16,0.09,Left
2014,60.74,1.66,11.94,20.82,2.19,2.06,0.31,0.0,0.16,0.0,0.0,0.14,Left
2005,54.62,8.16,9.24,15.13,7.33,0.23,1.71,0.0,1.98,0.33,0.1,1.65,Left
2006,30.54,2.04,8.98,23.95,18.56,0.64,4.24,0.0,10.18,0.0,0.53,0.27,Left
2008,60.67,4.27,1.82,22.47,1.46,0.2,3.06,0.0,5.13,0.0,0.15,0.18,Right
2009,27.72,2.01,5.43,20.11,0.74,2.06,9.24,0.0,33.15,0.0,0.0,0.13,Right
2010,34.48,3.17,6.5,26.9,3.84,3.66,13.1,0.0,8.28,0.0,0.25,0.05,Right
2011,19.64,3.2,3.38,56.55,5.13,6.55,2.76,0.0,2.53,0.0,0.42,0.12,Right
2013,28.89,0.22,6.24,48.89,7.73,0.94,1.18,0.0,5.64,0.01,0.59,0.23,Right
2014,15.29,0.54,20.0,29.41,27.06,0.83,4.42,0.0,1.23,0.0,0.57,0.04,Right
2005,24.84,2.92,46.5,14.65,0.24,5.79,0.54,1.94,0.02,0.0,0.63,1.62,Right
2007,21.3,0.35,59.76,5.7,0.27,5.14,0.57,0.0,2.09,0.0,0.7,4.09,Left
2008,13.31,0.59,71.33,6.14,0.94,1.69,0.0,0.1,2.75,0.0,0.83,2.27,Left
2009,30.37,9.63,37.78,2.51,3.62,4.37,1.21,1.9,3.53,0.0,0.99,3.65,Left
2010,12.41,10.95,29.93,5.64,3.76,0.46,2.71,0.01,29.93,2.85,0.38,1.11,Left
2012,3.13,12.76,41.07,30.36,6.42,0.19,6.52,0.0,0.0,0.01,0.23,1.1,Left
2013,20.45,10.98,25.0,22.73,8.44,0.0,6.75,5.02,0.0,0.0,0.61,0.0,Left
2014,13.14,14.1,38.64,21.85,6.48,0.0,4.95,0.0,0.0,0.0,0.4,0.0,Left
2005,19.2,10.4,40.0,24.0,4.94,0.68,0.0,0.0,0.0,0.0,0.06,0.73,Right
2006,27.98,4.93,36.9,7.14,23.21,0.1,0.0,0.0,0.0,0.0,0.0,0.01,Right
2007,28.63,8.71,41.91,17.84,2.1,0.33,0.0,0.0,0.0,0.0,0.0,0.0,Right
2008,43.98,5.23,31.33,18.67,0.04,0.25,0.01,0.0,0.0,0.0,0.3,0.0,Right
2010,8.78,1.97,67.02,14.89,1.64,1.17,0.46,0.0,4.21,0.0,0.0,0.01,Right
2011,12.4,2.46,41.32,14.05,0.43,0.92,1.53,0.0,13.22,0.0,0.8,12.4,Right
2012,17.19,0.57,67.19,7.81,1.42,0.47,0.63,0.0,0.05,0.0,0.61,4.15,Right
2013,20.0,1.36,55.38,10.44,8.04,0.92,0.0,0.0,0.0,0.0,1.63,1.33,Left
2014,46.84,1.19,20.25,20.25,2.17,9.57,0.0,0.0,0.0,0.0,0.75,0.0,Left
2005,14.7,11.71,40.43,18.91,7.23,2.59,1.07,0.0,0.0,0.0,3.23,0.42,Right
2006,7.61,1.26,40.3,22.39,4.29,9.38,1.93,0.0,0.0,7.67,5.24,0.23,Right
2008,8.37,1.35,54.76,16.61,3.26,3.93,0.63,0.0,0.0,3.53,7.77,0.47,Right
2009,8.61,0.02,23.52,40.0,20.43,5.31,1.89,0.0,0.0,0.0,0.81,0.01,Right
2010,4.99,8.72,29.11,31.65,18.99,0.56,0.6,0.0,0.0,0.0,4.65,0.2,Right
2011,2.44,3.09,33.33,32.14,22.62,1.3,2.75,0.0,0.27,0.0,2.06,0.0,Right
2012,4.16,0.93,43.48,26.09,11.18,5.04,6.92,0.0,0.0,0.48,1.0,0.14,Right
2013,5.8,3.52,25.0,37.84,9.85,2.71,8.23,0.0,0.14,0.7,5.6,0.28,Left
2014,7.07,1.44,46.81,26.99,7.49,4.22,2.65,0.0,0.23,0.0,4.07,0.49,Left
2005,9.35,5.19,24.46,24.46,14.39,0.51,7.91,0.01,13.67,0.0,0.22,0.27,Left
2006,7.69,10.49,25.87,24.48,10.49,3.03,9.79,0.01,7.69,0.0,0.17,0.2,Left
2008,4.21,5.65,21.01,31.09,3.61,4.22,25.21,0.0,3.92,0.0,1.31,0.14,Left
2009,17.82,3.25,30.46,29.31,8.62,5.75,3.98,0.0,0.23,0.0,0.44,0.06,Left
2010,20.0,7.29,26.4,29.6,7.0,4.27,2.95,0.03,1.01,0.0,0.88,0.46,Left
2011,14.29,7.14,48.35,24.18,3.63,1.04,1.47,0.01,0.08,0.0,0.21,0.04,Left
2013,20.67,10.67,28.67,29.33,6.67,0.68,1.73,0.0,0.19,0.0,0.11,0.74,Left
2014,23.29,4.55,28.77,27.4,10.27,2.84,2.18,0.0,0.01,0.0,0.05,0.89,Left
2005,10.2,4.05,5.24,51.7,11.56,1.2,3.17,0.0,5.09,0.0,0.26,7.48,Right
2006,22.64,5.17,13.21,31.13,10.38,1.89,2.22,0.69,2.69,0.0,0.26,9.37,Right
2008,19.8,9.39,10.89,23.76,15.84,4.92,2.57,0.04,3.29,0.0,0.16,9.53,Left
2009,56.96,2.83,7.59,22.15,3.91,1.66,1.17,0.0,0.0,0.0,0.0,3.85,Left
2010,91.04,0.19,0.79,3.75,0.6,0.63,0.67,0.0,2.29,0.0,0.0,0.09,Left
2011,89.09,0.43,3.69,1.92,0.13,0.0,0.04,3.69,0.71,0.0,0.12,0.21,Left
2013,98.07,0.17,0.32,0.69,0.13,0.05,0.33,0.0,0.02,0.03,0.18,0.01,Left
2014,98.27,0.21,0.25,0.61,0.12,0.01,0.4,0.0,0.09,0.0,0.03,0.0,Left
2005,9.12,9.43,17.3,13.21,9.75,13.52,6.6,0.28,0.08,0.0,0.27,20.44,Right
2006,8.64,5.91,25.91,20.91,18.18,5.0,5.45,0.08,0.25,0.04,0.32,9.09,Right
2008,20.22,3.92,23.5,18.03,12.57,0.65,5.46,6.56,2.5,1.23,0.36,5.36,Right
2009,24.35,1.18,22.17,26.52,16.52,0.37,4.35,2.31,1.23,0.0,0.57,0.52,Right
2010,37.65,4.71,24.07,15.43,13.58,0.32,3.19,0.65,0.45,0.06,0.2,0.0,Right
2011,22.58,1.17,17.42,41.29,10.97,1.61,3.37,0.5,0.44,0.04,0.31,0.1,Right
2012,20.18,6.81,28.44,25.69,11.93,2.15,3.81,0.68,0.0,0.07,0.06,0.14,Right
2013,13.57,1.91,42.14,22.86,6.83,2.66,7.14,1.55,0.19,0.16,0.84,0.0,Right
2014,8.44,0.53,44.81,30.52,4.86,2.66,5.61,1.17,1.51,0.01,0.09,0.0,Right
2005,11.08,2.44,38.32,32.93,2.56,10.18,2.04,0.0,0.11,0.0,0.0,0.55,Right
2006,51.62,3.55,15.3,19.78,1.41,0.5,1.7,0.0,0.05,5.87,0.0,0.06,Right
2008,28.02,5.32,19.02,30.27,1.92,9.0,2.04,0.01,4.29,0.0,0.0,0.0,Right
2009,16.36,7.6,17.51,37.79,3.46,11.52,2.29,2.01,0.04,0.0,0.0,1.33,Right
2010,8.45,9.39,26.76,34.74,4.04,9.39,1.0,0.01,4.69,0.0,0.0,0.94,Right
2011,10.96,15.53,31.96,21.92,0.16,10.05,2.4,3.09,4.21,0.0,0.0,0.52,Right
2013,4.41,5.51,34.19,52.57,0.56,0.68,1.85,0.75,0.0,0.0,0.0,0.0,Right
2014,10.58,5.29,47.09,22.22,4.49,5.82,2.11,0.6,0.57,0.0,0.0,0.62,Right
2005,7.51,18.87,15.09,23.58,22.64,0.86,5.47,0.0,0.02,0.0,0.19,6.09,Right
2007,29.29,7.72,18.18,21.21,1.9,1.11,3.26,5.02,0.51,0.0,0.98,11.11,Right
2008,7.13,11.36,27.27,31.82,5.79,0.46,6.11,8.45,0.0,0.0,0.76,0.13,Right
2009,30.53,10.53,27.37,13.68,1.67,0.84,7.33,0.12,0.0,0.0,0.17,6.73,Right
2010,29.76,3.9,17.86,26.19,0.11,9.5,1.84,0.31,0.98,0.0,0.05,9.18,Left
2011,16.25,3.83,13.75,23.75,0.26,2.55,1.52,1.4,12.5,0.0,1.23,22.5,Left
2012,20.63,1.7,4.92,20.63,0.46,4.64,2.23,5.06,0.0,0.0,2.52,34.92,Left
2013,12.68,0.07,3.41,65.0,0.0,12.68,0.0,1.11,0.0,0.0,2.08,3.56,Left
2014,32.69,4.42,17.61,23.08,1.35,1.49,3.92,6.97,0.0,0.0,3.34,3.67,Left
2005,4.92,14.5,43.5,12.5,7.0,5.5,6.0,0.0,6.0,0.0,0.1,0.36,Left
2006,11.47,5.0,47.06,19.71,5.59,4.71,3.53,0.0,2.56,0.0,0.01,0.31,Left
2007,39.42,8.97,25.96,11.22,6.09,1.71,2.26,0.0,2.81,0.06,0.57,1.24,Left
2008,43.18,8.44,24.35,5.84,8.77,1.34,3.57,0.15,3.24,0.0,0.63,0.44,Left
2010,8.15,7.73,42.92,25.32,9.44,0.85,3.09,0.0,1.16,0.0,0.68,0.44,Left
2011,10.46,2.71,54.9,17.65,4.48,2.47,3.5,0.03,3.61,0.0,0.03,0.67,Left
2012,14.81,5.49,42.59,21.6,9.88,1.38,1.18,0.0,1.89,0.0,1.18,0.0,Left
2013,3.98,2.65,70.45,7.95,3.98,7.67,1.09,0.0,0.82,0.0,0.14,1.23,Left
2005,37.5,2.99,4.94,35.58,5.58,3.75,7.05,0.0,0.0,0.0,0.11,2.54,Left
2006,31.76,3.36,9.31,23.53,6.31,21.18,1.56,0.06,0.0,0.0,0.88,1.22,Left
2007,26.61,1.53,16.51,23.85,10.09,11.01,5.18,0.0,0.02,0.0,1.79,2.35,Left
2008,55.07,5.07,14.49,11.96,3.16,3.62,4.71,0.0,0.0,0.0,0.17,1.59,Left
2009,12.77,4.96,39.36,25.53,5.23,6.58,2.58,0.0,1.6,0.0,0.56,0.26,Left
2011,7.6,0.67,65.22,9.97,1.59,10.19,2.59,0.0,0.38,0.0,0.05,1.67,Left
2012,14.86,2.87,18.92,31.08,7.38,14.86,1.22,0.0,2.22,0.0,5.45,0.63,Left
2014,22.86,0.35,24.29,22.86,25.71,1.33,1.48,0.82,0.0,0.0,1.73,0.0,Left
2005,19.67,5.86,14.23,33.47,10.46,10.46,4.11,0.63,0.0,0.0,0.64,0.98,Right
2006,46.0,5.0,6.33,29.0,4.67,5.67,2.9,0.0,0.04,0.0,0.62,0.51,Right
2007,18.35,8.26,8.72,39.45,8.26,2.86,2.83,0.0,0.01,0.0,0.15,11.47,Right
2008,18.46,8.72,13.33,37.95,10.77,3.45,2.4,0.0,0.0,0.0,0.07,4.74,Right
2009,36.75,5.7,12.05,30.12,7.23,2.36,2.77,0.0,0.06,0.0,0.64,1.46,Right
2010,35.1,6.62,14.57,30.46,7.28,2.3,1.15,0.32,0.13,0.0,0.63,0.98,Right
2011,14.35,4.78,21.3,38.26,6.96,4.78,4.35,0.65,0.15,0.0,0.49,3.9,Right
2013,33.07,4.38,15.54,32.27,9.16,2.06,1.72,0.77,0.08,0.0,0.03,0.91,Left
2014,13.19,2.15,12.09,35.16,19.78,2.02,2.32,12.09,0.09,0.0,0.0,0.99,Left
2005,29.03,0.85,17.2,40.86,5.91,4.02,1.63,0.01,0.59,0.0,0.04,0.29,Left
2006,21.15,0.5,32.69,11.54,4.26,24.04,4.74,0.0,0.9,0.0,0.67,0.32,Left
2007,28.0,1.41,7.99,22.0,12.0,19.0,7.11,0.0,0.11,0.0,0.56,1.61,Left
2008,14.29,4.39,11.9,36.9,5.68,23.81,1.87,0.0,0.73,0.0,0.16,0.68,Left
2009,25.0,12.5,10.56,15.91,17.05,5.66,9.04,0.0,0.77,0.0,0.73,2.92,Left
2011,11.31,11.27,13.2,22.92,18.06,9.35,9.71,0.0,4.11,0.0,0.0,0.41,Left
2012,14.28,5.43,19.59,22.53,23.86,11.75,0.65,0.0,0.01,0.0,0.6,0.3,Left
2013,15.67,2.59,21.94,5.85,11.78,40.0,3.4,0.0,0.11,0.0,0.29,0.0,Left
2014,28.24,1.56,21.02,8.66,8.0,32.35,2.46,0.0,0.0,0.0,0.0,0.0,Left
2005,22.85,1.95,11.87,26.71,3.86,8.01,24.63,0.0,0.09,0.0,0.03,0.01,Left
2006,6.67,2.32,54.44,16.67,7.22,8.33,4.11,0.0,0.11,0.0,0.13,0.01,Left
2007,10.39,11.47,61.29,9.32,2.35,2.04,2.52,0.09,0.01,0.0,0.27,0.0,Left
2008,14.07,4.76,57.04,15.56,3.88,3.89,0.59,0.0,0.05,0.0,0.52,0.21,Left
2009,5.25,10.24,27.71,22.89,4.2,23.49,1.38,0.03,0.24,0.0,0.35,3.56,Left
2011,5.33,18.52,22.22,20.37,9.1,12.73,9.9,0.41,0.0,0.0,0.75,0.84,Right
2012,34.23,8.79,21.62,16.22,4.72,9.91,1.97,0.9,0.05,0.0,1.64,0.24,Right
2013,30.12,9.04,16.87,24.1,3.97,7.23,4.94,2.4,0.12,0.0,0.78,0.55,Right
2014,30.14,8.02,21.92,16.44,5.73,13.37,4.32,0.2,0.0,0.0,0.0,0.0,Right
2005,53.23,0.99,25.0,17.74,1.11,0.26,1.48,0.0,0.39,0.05,0.18,0.08,Left
2006,71.14,3.71,11.14,7.14,3.43,0.15,2.61,0.0,0.41,0.02,0.25,0.06,Left
2007,67.44,1.42,15.9,8.21,4.36,0.0,1.71,0.0,0.08,0.93,0.21,0.05,Left
2009,66.67,2.41,12.15,12.15,3.82,0.24,1.43,0.08,0.05,0.13,0.59,0.49,Left
2010,31.03,4.57,40.8,12.07,8.05,1.14,1.72,0.12,0.12,0.22,0.4,0.47,Left
2011,28.78,1.87,38.13,20.14,5.89,1.68,1.87,0.12,0.31,0.11,0.3,0.79,Left
2012,15.38,5.71,40.66,28.57,1.93,4.7,0.99,0.22,0.53,0.05,0.16,0.76,Left
2014,12.75,1.58,44.12,17.65,7.17,3.24,0.48,8.76,2.6,0.02,0.07,1.06,Left
2005,10.96,2.46,31.51,40.41,10.27,0.0,0.69,0.0,1.43,0.0,0.0,1.89,Left
2006,6.22,2.73,43.01,38.86,3.93,0.73,1.53,0.01,0.04,0.0,0.0,2.47,Left
2008,14.06,4.32,27.08,27.6,8.85,5.18,2.42,6.25,4.3,0.0,0.0,0.31,Right
2009,7.14,5.02,24.03,29.87,10.39,2.37,3.44,11.69,5.95,0.0,0.0,0.4,Right
2010,8.95,9.21,25.0,25.0,4.02,2.02,3.15,14.0,8.79,0.0,0.0,0.39,Left
2011,15.49,13.88,40.85,15.49,4.07,1.29,4.47,3.51,0.57,0.0,0.0,0.52,Left
2012,14.29,20.41,21.43,27.55,2.24,0.32,4.61,5.6,3.29,0.0,0.0,0.43,Left
2013,20.8,8.8,18.4,23.2,12.8,0.01,7.77,0.01,3.3,0.0,2.07,3.03,Left
2014,17.14,12.02,30.0,17.14,11.64,0.0,2.46,0.87,5.78,0.0,1.11,1.74,Left
2006,6.46,11.41,36.5,18.63,9.51,9.51,4.94,0.0,0.03,0.0,3.48,0.0,Left
2007,4.86,11.89,23.78,21.62,12.43,14.32,4.86,0.0,1.18,0.0,4.86,0.0,Left
2009,40.87,7.97,26.99,7.97,10.8,1.07,1.41,0.0,1.15,0.0,1.91,0.0,Right
2010,9.97,18.01,31.19,22.51,6.11,0.02,0.86,0.0,6.75,0.0,4.5,0.0,Right
2011,4.59,11.79,26.64,50.22,2.0,0.0,0.83,0.0,2.4,0.0,1.63,0.0,Right
2012,3.13,23.35,60.91,5.08,3.03,0.0,1.1,0.0,1.64,0.0,1.71,0.0,Right
2005,95.29,0.22,1.02,2.65,0.36,0.34,0.01,0.0,0.0,0.63,0.04,0.0,Right
2007,90.77,0.2,1.31,6.2,0.74,0.36,0.01,0.0,0.0,1.12,0.02,0.0,Right
2008,82.14,0.31,3.98,11.18,0.98,0.64,0.12,0.0,0.14,0.58,0.07,0.05,Right
2009,64.79,1.22,7.26,19.17,2.11,1.84,0.21,0.01,0.59,2.49,0.19,0.43,Right
2010,61.51,1.49,7.01,23.98,1.02,2.38,1.33,0.05,0.48,0.24,0.31,0.46,Right
2012,39.01,1.25,9.12,41.33,1.9,2.74,1.65,0.04,2.87,0.58,0.53,0.41,Left
2013,48.85,1.08,7.27,36.11,2.55,1.95,0.09,0.0,2.4,0.0,0.25,0.72,Left
2014,29.59,0.98,8.38,48.38,4.16,1.28,0.22,0.01,5.83,0.0,0.07,1.07,Left
2005,28.12,7.35,32.11,15.01,7.14,2.94,3.67,0.0,0.27,0.0,1.89,1.68,Left
2006,16.07,11.24,29.02,20.63,5.97,6.83,5.69,0.0,0.68,0.0,3.27,0.65,Left
2007,10.61,10.93,34.57,26.53,7.23,2.57,4.66,0.0,0.48,0.0,2.41,0.04,Left
2008,17.96,6.47,23.14,29.77,12.3,3.56,5.02,0.0,0.01,0.0,1.33,0.25,Left
2010,29.45,4.04,23.52,20.67,8.31,6.89,6.65,0.0,0.06,0.0,0.32,0.16,Left
2011,28.57,6.59,20.15,20.51,9.89,6.23,7.33,0.0,0.0,0.0,0.54,0.17,Left
2012,26.06,4.23,24.3,22.54,10.56,2.42,9.15,0.0,0.09,0.0,0.65,0.01,Left
2013,29.82,7.89,8.19,16.08,14.91,9.36,13.16,0.0,0.0,0.0,0.17,0.19,Left
2005,12.39,7.08,19.76,20.65,11.8,5.31,4.13,0.0,0.1,0.0,0.07,18.88,Left
2006,46.41,5.64,23.33,12.05,6.67,2.01,1.82,0.0,1.41,0.0,0.25,0.34,Left
2008,34.84,4.18,18.82,30.66,4.53,4.88,0.71,0.0,0.28,0.0,0.49,0.42,Right
2009,58.2,4.76,13.49,14.81,2.37,3.97,0.49,0.0,0.17,0.0,0.97,0.69,Right
2010,59.4,2.2,14.33,15.82,2.99,1.96,1.12,0.0,0.23,0.0,0.56,1.43,Right
2011,44.04,4.28,18.65,15.29,7.03,1.23,6.42,0.0,0.01,0.0,1.61,1.57,Right
2013,39.12,1.58,13.37,34.73,4.79,0.56,3.19,0.0,0.08,0.0,0.82,1.84,Left
2014,22.16,2.56,10.18,30.54,7.19,8.98,4.05,0.0,0.0,0.3,1.29,12.57,Left
2005,13.91,1.61,19.07,53.02,6.37,1.24,0.82,0.02,1.55,2.36,0.03,0.0,Left
2007,7.72,0.84,12.27,73.18,3.87,0.5,0.44,0.0,1.04,0.0,0.18,0.0,Left
2008,8.47,1.61,35.29,46.93,3.66,1.0,0.59,0.0,0.38,2.07,0.01,0.0,Left
2009,7.18,0.92,12.18,74.53,2.46,1.14,1.07,0.0,0.5,0.0,0.03,0.0,Left
2010,9.25,1.69,13.22,70.69,3.36,0.58,0.42,0.0,0.78,0.0,0.02,0.0,Left
2012,9.86,1.55,24.61,60.9,1.7,0.34,0.46,0.0,0.49,0.0,0.1,0.0,Left
2013,5.03,1.34,18.27,71.93,1.62,0.17,0.67,0.0,0.95,0.0,0.01,0.0,Left
2014,15.26,2.89,11.62,67.68,1.35,0.22,0.42,0.0,0.44,0.0,0.08,0.0,Left
2005,25.0,2.16,43.88,15.65,3.24,5.4,1.6,0.0,0.5,0.0,0.47,1.98,Right
2007,38.2,6.83,12.11,16.77,9.32,0.51,0.6,0.0,0.35,0.0,0.09,15.53,Right
2008,48.91,4.67,8.41,14.33,5.3,0.98,1.57,0.01,0.57,0.0,0.0,15.26,Right
2009,45.42,4.07,7.8,14.58,9.49,8.14,3.73,0.0,2.35,0.0,0.0,4.41,Right
2012,13.06,31.03,11.83,29.31,7.81,3.08,1.45,0.0,0.0,0.0,0.58,2.38,Left
2013,12.28,5.54,15.07,41.3,19.92,6.29,0.07,0.0,0.0,0.0,0.03,0.86,Left
2014,6.9,1.22,52.29,26.61,1.37,0.04,11.01,0.0,0.0,0.0,0.5,0.18,Left
2005,27.08,2.19,30.56,11.81,9.03,9.03,2.38,0.0,5.66,0.8,0.66,0.13,Left
2006,46.67,2.11,20.74,8.89,9.63,0.73,8.89,0.0,1.06,0.05,1.26,0.09,Left
2007,35.78,2.98,29.36,19.27,6.38,1.48,2.97,0.0,1.12,0.0,0.48,0.01,Left
2008,30.77,3.44,20.51,23.08,7.9,3.69,4.14,0.0,5.78,0.0,1.3,0.0,Left
2009,45.71,4.95,7.86,13.57,12.86,7.86,1.26,0.0,3.74,0.95,1.3,0.0,Left
2011,50.0,7.06,10.83,25.0,1.22,2.46,2.21,0.0,0.82,0.0,0.1,0.0,Left
2012,47.53,2.2,15.43,23.46,1.06,5.98,1.73,0.0,2.65,0.06,0.1,0.18,Left
2013,25.62,2.86,18.18,24.79,23.97,2.97,0.37,0.0,0.09,0.0,0.82,0.12,Left
2014,16.83,0.99,21.78,11.88,41.58,2.11,3.8,0.0,0.22,0.0,0.23,0.51,Left
2005,10.13,0.74,52.74,17.3,9.28,2.89,2.62,0.13,3.75,0.0,0.64,0.0,Right
2006,6.92,0.3,30.77,39.62,3.85,8.46,6.54,0.45,1.92,0.88,0.05,0.16,Right
2008,16.05,2.08,27.57,30.45,11.11,6.58,0.74,0.2,4.53,0.06,0.62,0.04,Right
2009,22.35,0.52,32.96,30.17,7.82,1.59,3.12,0.05,0.1,0.29,1.29,0.03,Right
2010,17.37,6.84,36.32,22.63,10.0,0.31,3.03,0.0,0.31,1.12,0.32,2.19,Right
2012,9.32,1.1,72.88,10.17,5.1,0.05,0.7,0.04,0.01,0.0,0.71,0.0,Left
2013,5.09,0.52,58.09,28.68,4.87,0.11,0.12,0.0,0.0,1.86,0.75,0.0,Left
2014,4.97,1.13,35.45,28.18,23.64,2.21,1.94,0.0,0.01,1.42,0.71,0.06,Left
2005,7.26,4.57,56.42,16.2,3.71,6.15,1.49,1.45,0.82,1.85,0.12,0.48,Right
2006,10.29,4.05,41.18,5.05,8.82,13.97,1.83,3.05,9.56,1.63,0.23,0.23,Right
2008,16.95,9.32,38.14,2.44,3.21,16.1,0.32,0.0,8.47,3.8,0.12,0.41,Right
2009,25.3,2.76,25.3,8.88,4.87,10.56,0.34,2.51,9.24,9.24,0.29,0.2,Right
2010,18.03,2.91,36.07,11.05,2.31,2.22,1.98,3.0,0.38,15.4,0.15,7.72,Right
2011,7.71,4.63,28.85,23.08,14.83,1.06,3.42,1.81,0.1,9.66,0.53,5.12,Right
2012,12.71,8.69,15.35,29.55,15.96,1.66,5.52,0.13,0.0,3.49,1.78,5.46,Left
2013,6.96,12.55,29.09,21.82,6.28,0.55,4.42,0.62,0.0,2.89,4.23,8.92,Left
2014,5.64,20.34,30.51,20.34,2.49,0.47,6.61,0.0,0.16,4.74,0.2,7.37,Left
2005,28.62,0.95,12.62,54.79,0.13,0.18,1.99,0.0,0.14,0.0,0.49,0.03,Left
2006,23.27,1.75,5.85,64.09,0.14,0.29,3.39,0.0,0.12,0.0,0.35,0.74,Left
2007,30.3,2.16,6.2,54.26,0.13,0.01,6.06,0.0,0.15,0.0,0.37,0.16,Left
2008,23.17,0.86,8.0,63.27,0.14,0.06,4.4,0.0,0.0,0.0,0.05,0.01,Left
2010,21.97,1.21,6.28,53.81,0.13,0.16,13.45,0.0,0.2,0.0,2.24,0.23,Left
2011,22.73,2.57,12.59,41.96,0.12,0.16,4.55,0.0,13.29,0.0,1.7,0.03,Left
2012,24.95,1.24,10.1,51.43,0.27,0.14,3.81,0.0,7.05,0.0,0.28,0.82,Left
2013,47.38,1.93,11.69,31.69,0.08,0.18,6.15,0.0,0.04,0.0,0.44,0.39,Left
2014,40.3,1.07,10.75,39.1,0.13,0.21,7.76,0.0,0.06,0.0,0.81,0.11,Right
2005,34.06,1.76,29.85,12.89,8.28,1.63,1.36,0.0,0.37,9.23,0.47,0.05,Right
2006,64.54,0.97,14.8,14.74,3.72,0.28,0.3,0.0,0.06,0.61,0.03,0.01,Right
2008,16.34,0.33,56.24,21.18,4.66,0.34,0.3,0.0,0.51,0.0,0.02,0.01,Right
2009,19.73,0.29,63.3,12.01,2.71,0.26,0.51,0.0,0.02,0.85,0.28,0.02,Right
2010,36.45,0.17,16.58,43.89,1.86,0.28,0.61,0.0,0.04,0.0,0.13,0.0,Right
2011,15.8,0.15,14.54,65.61,2.4,0.28,0.28,0.0,0.02,0.04,0.79,0.02,Right
2012,11.87,0.2,18.97,65.12,2.45,0.36,0.21,0.0,0.01,0.0,0.87,0.02,Left
2013,60.64,0.35,13.2,12.13,0.27,0.84,0.05,0.0,0.01,12.01,0.5,0.01,Left
2014,64.87,0.8,9.45,22.34,0.36,0.29,0.0,0.01,0.1,0.0,1.85,0.01,Left
