year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2013,36.18,4.71,25.0,22.35,6.18,2.05,1.32,0.91,0.68,0.0,0.61,0.0,Left
2005,39.45,0.47,28.44,17.43,1.94,7.18,2.76,0.3,0.02,0.0,0.94,0.33,Left
2007,6.53,4.49,65.31,15.1,1.54,4.01,1.95,0.0,0.27,0.0,0.69,0.01,Left
2008,7.72,3.23,52.01,23.49,0.93,6.71,4.7,0.0,0.01,0.0,0.86,0.0,Left
2009,10.32,5.16,61.11,12.3,0.59,7.14,2.82,0.0,0.0,0.0,0.43,0.0,Left
2010,15.38,6.24,29.49,28.21,10.26,7.69,1.2,0.0,0.63,0.0,0.16,0.0,Left
2012,29.21,1.43,21.35,14.61,12.36,8.82,4.18,0.0,8.17,0.0,0.31,0.43,Left
2013,12.62,0.3,27.18,39.81,2.82,4.74,0.58,0.0,11.65,0.0,0.0,0.0,Left
2014,9.7,0.25,12.69,71.64,2.75,1.2,0.23,0.01,1.52,0.0,0.05,0.29,Left
2005,9.08,5.73,23.68,25.0,15.79,0.5,15.79,3.44,1.09,0.0,0.37,0.0,Left
2006,51.32,5.68,10.75,15.79,0.77,4.13,10.44,0.0,1.5,0.0,0.0,0.29,Left
2007,41.3,2.96,6.54,39.13,6.44,0.07,5.61,0.16,0.0,0.0,0.0,0.0,Right
2008,20.59,9.25,3.33,39.02,13.17,0.0,11.36,0.0,0.0,0.0,1.8,0.0,Right
2009,8.0,6.67,3.89,46.0,18.67,0.2,15.33,0.0,0.01,0.0,0.75,0.0,Right
2010,7.94,5.4,28.57,41.07,4.32,0.0,11.53,0.0,0.87,0.0,0.0,0.09,Right
2011,32.51,5.83,12.04,20.1,2.85,0.45,22.81,0.0,1.52,0.0,1.4,0.0,Right
2013,37.5,6.1,19.96,12.82,4.74,10.51,0.0,0.0,0.8,0.0,5.01,0.49,Left
2014,22.72,0.48,21.69,28.41,20.83,4.95,2.33,0.0,0.22,0.0,0.09,0.0,Left
2005,29.15,1.77,22.67,26.32,3.15,4.45,3.26,0.0,8.91,0.0,0.04,0.05,Right
2012,6.62,1.41,37.09,31.13,0.26,3.8,0.89,0.0,1.08,0.0,0.0,17.88,Left
2013,19.57,2.9,34.78,38.04,0.91,0.8,0.2,0.0,1.27,0.0,0.41,2.11,Left
2014,64.85,1.04,25.94,7.53,0.24,0.0,0.01,0.0,0.62,0.0,0.15,0.19,Left
2005,11.49,4.66,20.19,24.53,10.87,7.45,2.68,0.0,0.0,0.0,0.68,17.7,Left
2006,8.33,1.06,23.92,28.49,14.25,8.6,3.49,0.0,0.0,0.0,0.55,11.29,Left
2007,13.73,6.72,13.73,33.05,12.32,12.04,4.2,0.0,0.08,0.0,0.24,4.48,Left
2008,6.74,6.74,28.3,29.65,4.85,16.98,4.85,0.0,0.65,0.0,0.03,1.52,Left
2010,6.55,6.91,27.27,28.36,12.73,9.82,7.64,0.0,0.0,0.0,0.83,0.03,Right
2011,14.0,8.0,31.5,18.5,8.0,10.0,7.0,0.0,0.0,0.0,3.21,0.0,Right
2012,6.48,4.02,38.87,17.41,7.69,16.6,3.7,0.0,0.0,0.0,5.67,0.0,Right
2013,12.86,3.62,23.33,26.19,5.24,19.05,9.52,0.0,0.0,0.0,0.01,0.0,Right
2005,13.19,5.98,14.29,43.96,9.18,8.04,3.39,1.13,0.06,0.01,1.27,0.0,Left
2006,13.76,7.75,30.28,28.44,10.09,3.65,4.52,0.0,0.0,0.0,0.39,0.27,Left
2007,18.55,15.32,16.94,28.23,11.29,5.13,1.74,0.0,0.07,0.0,2.43,0.02,Left
2008,18.18,6.26,24.24,24.24,18.18,0.81,9.04,0.0,0.0,0.0,0.48,0.17,Left
2010,35.71,3.19,17.86,21.43,8.27,6.02,4.83,0.0,0.0,0.0,1.13,1.32,Right
2011,35.4,0.4,29.2,15.93,4.26,7.34,5.42,0.05,0.02,0.0,0.24,2.21,Right
2012,7.12,1.7,24.39,23.17,6.74,28.05,6.67,0.0,0.0,0.0,2.6,0.39,Right
2013,12.21,0.0,31.43,34.29,12.01,6.29,2.76,0.0,0.0,0.0,0.0,0.06,Right
2005,70.05,2.3,7.13,11.81,2.69,1.58,2.93,0.0,1.35,0.0,0.05,0.09,Left
2006,56.06,3.53,15.19,10.22,5.06,2.62,2.35,0.0,0.74,3.89,0.09,0.22,Left
2007,59.28,2.06,12.38,10.58,7.44,5.38,0.88,0.0,1.43,0.2,0.24,0.0,Left
2008,66.72,2.15,9.38,14.37,3.69,2.31,0.74,0.0,0.11,0.23,0.18,0.13,Left
2009,56.89,2.05,11.08,15.55,9.59,2.33,0.47,0.0,0.01,2.05,0.04,0.0,Left
2011,52.25,3.65,14.98,19.12,6.09,1.34,0.87,0.02,0.98,0.0,0.64,0.0,Left
2012,66.98,1.03,4.25,13.84,11.01,1.89,0.42,0.05,0.21,0.0,0.45,0.0,Left
2013,48.08,2.36,14.6,21.39,8.55,2.8,0.54,0.0,0.58,0.03,0.0,0.85,Left
2014,55.98,0.76,9.89,18.73,6.66,2.19,5.2,0.0,0.26,0.0,0.23,0.01,Left
2005,41.04,6.34,7.28,15.67,18.47,1.87,4.66,1.26,0.26,2.61,0.12,0.24,Left
2006,23.73,13.28,4.24,18.08,28.53,4.8,5.08,0.98,0.35,0.07,0.11,0.68,Left
2007,18.82,6.18,11.18,20.59,30.88,5.29,4.12,0.83,0.13,1.92,0.13,0.38,Left
2008,20.85,3.27,11.06,25.38,29.15,3.02,2.24,0.53,0.44,3.77,0.17,0.2,Left
2009,28.25,11.02,11.3,24.86,13.28,3.95,4.24,0.35,0.2,1.61,0.22,0.45,Left
2005,41.88,3.83,31.54,8.07,4.24,6.83,1.45,0.05,0.14,0.0,1.55,0.33,Left
2006,32.8,4.66,31.83,15.43,8.04,3.54,3.05,0.0,0.0,0.0,0.55,0.06,Left
2007,25.97,10.28,26.11,10.97,12.08,2.08,6.81,0.04,0.0,0.0,4.72,0.84,Left
2009,73.84,3.46,5.75,8.99,2.58,0.96,2.28,0.0,0.02,0.0,1.11,0.96,Right
2010,67.55,3.44,12.61,6.77,6.08,0.64,1.15,0.0,0.05,0.0,0.84,0.93,Right
