Name,Zone,Price,Surface,Zone_num
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Monolocale via Marco d'Agrate, Corvetto, Milano",corvetto-rogoredo,650,30.0,1
"Monolocale via Bessarione 46, Corvetto, Milano",corvetto-rogoredo,700,23.0,1
"Monolocale via Marco d'Agrate 21, Corvetto, Milano",corvetto-rogoredo,950,35.0,1
"Quadrilocale piazza Angilberto II 2, Corvetto, Milano",corvetto-rogoredo,1800,120.0,1
"Monolocale viale Enrico Martini 9, Corvetto, Milano",corvetto-rogoredo,830,28.0,1
"Monolocale corso Lodi 101, Corvetto, Milano",corvetto-rogoredo,950,37.0,1
"Trilocale corso Lodi 132, Corvetto, Milano",corvetto-rogoredo,1750,95.0,1
"Bilocale viale Bacchiglione 8, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Monolocale via Mincio 12, Corvetto, Milano",corvetto-rogoredo,900,45.0,1
"Bilocale via Gardone, Corvetto, Milano",corvetto-rogoredo,1100,55.0,1
"Appartamento viale Bacchiglione 14, Corvetto, Milano",corvetto-rogoredo,1350,70.0,1
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1265,15.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1465,19.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1555,22.0,2
"Bilocale piazza Davide Sesia, Turro, Milano",precotto-turro,1150,57.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale via della Torre, Turro, Milano",precotto-turro,1000,50.0,2
"Bilocale via Esiodo, 1, Precotto, Milano",precotto-turro,900,50.0,2
"Bilocale via boiardo 8, Turro, Milano",precotto-turro,980,40.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale via Enpedocle, Villa San Giovanni, Milano",precotto-turro,1050,65.0,2
"Bilocale ottimo stato, primo piano, Gorla, Milano",precotto-turro,900,50.0,2
"Bilocale via Frigia 5, Precotto, Milano",precotto-turro,1100,50.0,2
"Bilocale via Columella 8, Precotto, Milano",precotto-turro,1100,75.0,2
"Monolocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,500,20.0,2
"Bilocale via Privata Giancarlo Puecher, 7, 20127 Milano Italia, Turro, Milano",precotto-turro,1350,65.0,2
"Bilocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,700,40.0,2
"Bilocale via Giovanni Livraghi 18, Villa San Giovanni, Milano",precotto-turro,1050,70.0,2
"Bilocale via Ernesto Breda 122, Villa San Giovanni, Milano",precotto-turro,700,40.0,2
"Bilocale via Privata della Torre, Turro, Milano",precotto-turro,880,40.0,2
"Bilocale via della Torre 3, Turro, Milano",precotto-turro,1000,40.0,2
"Bilocale via Esiodo 2, Precotto, Milano",precotto-turro,1050,48.0,2
"Bilocale via della Torre 9, Turro, Milano",precotto-turro,1200,63.0,2
"Quadrilocale via Empedocle 1, Villa San Giovanni, Milano",precotto-turro,1800,105.0,2
"Trilocale via Corrado Alvaro 11, Precotto, Milano",precotto-turro,1100,70.0,2
"Bilocale via Empedocle 16, Villa San Giovanni, Milano",precotto-turro,950,55.0,2
"Monolocale via fortezza 21, Villa San Giovanni, Milano",precotto-turro,790,42.0,2
"Trilocale via Recanati 3, Villa San Giovanni, Milano",precotto-turro,1500,87.0,2
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,75.0,2
"Trilocale via Galeno 22, Villa San Giovanni, Milano",precotto-turro,1600,140.0,2
"Bilocale via Talete 32, Villa San Giovanni, Milano",precotto-turro,1100,67.0,2
"Trilocale via Licurgo, Precotto, Milano",precotto-turro,1200,65.0,2
"Trilocale via Cislaghi 21, Precotto, Milano",precotto-turro,1500,100.0,2
"Bilocale via Alfredo Soffredini 53, Villa San Giovanni, Milano",precotto-turro,1100,54.0,2
"Bilocale via fortezza 21, Villa San Giovanni, Milano",precotto-turro,970,35.0,2
"Monolocale via Esiodo 12/14, Precotto, Milano",precotto-turro,700,38.0,2
"Bilocale via Boiardo, Turro, Milano",precotto-turro,970,45.0,2
"Bilocale via Matteo Maria Boiardo 23, Turro, Milano",precotto-turro,970,50.0,2
"Trilocale via Boiardo, Turro, Milano",precotto-turro,1250,75.0,2
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80.0,2
"Bilocale via Gerolamo Rovetta 8, Turro, Milano",precotto-turro,950,62.0,2
"Trilocale via via Pompeo Mariani 8, Ponte Nuovo, Milano",precotto-turro,2750,120.0,2
"Bilocale via Padova 95, Turro, Milano",precotto-turro,880,55.0,2
"Trilocale via via Ilarione Rancati 24, Turro, Milano",precotto-turro,2550,100.0,2
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80.0,2
"Quadrilocale via Ernesto Breda, Bicocca, Milano",precotto-turro,1750,80.0,2
"Quadrilocale via Andrea Cesalpino 60, Gorla, Milano",precotto-turro,2300,95.0,2
"Bilocale viale Monza 317, Villa San Giovanni, Milano",precotto-turro,1250,49.0,2
"Quadrilocale viale Monza, Gorla, Milano",precotto-turro,1750,98.0,2
"Monolocale piazza dei Piccoli Martiri 7, Gorla, Milano",precotto-turro,870,21.0,2
"Bilocale via Stefanardo da Vimercate 19, Gorla, Milano",precotto-turro,980,45.0,2
"Bilocale via Guanella, 14, Precotto, Milano",precotto-turro,920,50.0,2
"Trilocale via Matteo Maria Boiardo, Turro, Milano",precotto-turro,1700,80.0,2
"Bilocale via Esiodo, 1, Precotto, Milano",precotto-turro,900,50.0,2
"Loft via Jean Jaures 17, Turro, Milano",precotto-turro,1000,35.0,2
"Trilocale via Fortezza, Villa San Giovanni, Milano",precotto-turro,1200,55.0,2
"Bilocale viale Monza 347, Villa San Giovanni, Milano",precotto-turro,1600,70.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,1120,55.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1295,19.0,2
"Trilocale via Filippo Tommaso Marinetti, Turro, Milano",precotto-turro,1200,110.0,2
"Bilocale ottimo stato, piano rialzato, Turro, Milano",precotto-turro,800,50.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1731,29.0,2
"Bilocale viale Monza, Precotto, Milano",precotto-turro,950,54.0,2
"Trilocale via Monte San Gabriele, Gorla, Milano",precotto-turro,1150,50.0,2
"Bilocale via bertelli 16, Turro, Milano",precotto-turro,1268,63.0,2
"Monolocale via Frigia, Precotto, Milano",precotto-turro,1495,23.0,2
"Loft via Adelaide Bono Cairoli 30, Turro, Milano",precotto-turro,1300,83.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1105,16.0,2
"Monolocale via Angelo Mosso 47, Turro, Milano",precotto-turro,1300,25.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,899,14.0,2
"Bilocale via Luigi Cislaghi 5, Precotto, Milano",precotto-turro,800,45.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,959,16.0,2
"Trilocale via Matteo Maria Boiardo 27, Turro, Milano",precotto-turro,1250,80.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale via della Torre 16, Turro, Milano",precotto-turro,890,25.0,2
"Monolocale via Frigia 19, Villa San Giovanni, Milano",precotto-turro,1428,22.0,2
"Trilocale via matteo maria boiardo, Turro, Milano",precotto-turro,1700,80.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1465,19.0,2
"Monolocale via Matteo Maria Boiardo,11, Turro, Milano",precotto-turro,850,20.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1595,22.0,2
"Bilocale viale Monza, Villa San Giovanni, Milano",precotto-turro,1100,49.0,2
"Monolocale via Sant'Uguzzone,5, Villa San Giovanni, Milano",precotto-turro,1150,40.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1925,43.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Trilocale via Rovigno,15, Turro, Milano",precotto-turro,1800,60.0,2
"Bilocale viale Monza,114, Turro, Milano",precotto-turro,1250,55.0,2
"Monolocale via Sant'Uguzzone,5, Villa San Giovanni, Milano",precotto-turro,1100,40.0,2
"Bilocale via Pirano, Gorla, Milano",precotto-turro,700,45.0,2
"Monolocale via Ilarione Rancati 37, Turro, Milano",precotto-turro,675,36.0,2
"Monolocale via Teocrito 36, Gorla, Milano",precotto-turro,950,39.0,2
"Bilocale viale Monza 317, Villa San Giovanni, Milano",precotto-turro,1100,49.0,2
"Villa a schiera via Stefanardo da Vimercate 1, Gorla, Milano",precotto-turro,2500,150.0,2
"Loft via Tofane 19, Turro, Milano",precotto-turro,1300,70.0,2
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80.0,2
"Monolocale viale Monza 141, Turro, Milano",precotto-turro,850,35.0,2
"Open space via Esiodo 12, Precotto, Milano",precotto-turro,1000,35.0,2
"Attico piazza Davide Sesia 5, Turro, Milano",precotto-turro,2500,130.0,2
"Bilocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,750,30.0,2
"Bilocale viale Monza 106, Turro, Milano",precotto-turro,870,18.0,2
"Monolocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,700,35.0,2
"Bilocale via Asiago 48, Gorla, Milano",precotto-turro,1100,68.0,2
"Bilocale via Jean Jaures 9, Turro, Milano",precotto-turro,1100,60.0,2
"Bilocale via Padova 5, Pasteur, Milano",pasteur-rovereto,1050,50.0,3
"Bilocale via dei Transiti,23, Pasteur, Milano",pasteur-rovereto,1150,77.0,3
"Bilocale viale Monza 46, Pasteur, Milano",pasteur-rovereto,1300,89.0,3
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,65.0,3
"Bilocale via Popoli Uniti 14, Rovereto, Milano",pasteur-rovereto,1150,50.0,3
"Bilocale piazza Francesco Durante 24, Casoretto, Milano",pasteur-rovereto,1200,59.0,3
"Bilocale piazza Francesco Durante 24, Casoretto, Milano",pasteur-rovereto,1300,70.0,3
"Trilocale via Ruggero Leoncavallo, Parco Trotter, Milano",pasteur-rovereto,1400,95.0,3
"Trilocale via Bassano del Grappa 32, Parco Trotter, Milano",pasteur-rovereto,1400,81.0,3
"Monolocale viale Monza 22A, Pasteur, Milano",pasteur-rovereto,1200,45.0,3
"Monolocale via Nino Oxilia 13, Pasteur, Milano",pasteur-rovereto,850,44.0,3
"Trilocale via Andrea Costa 8, Casoretto, Milano",pasteur-rovereto,2000,120.0,3
"Monolocale via Rovereto 8, Rovereto, Milano",pasteur-rovereto,700,20.0,3
"Bilocale via Bolzano, Rovereto, Milano",pasteur-rovereto,1200,60.0,3
"Bilocale via Pietro Marocco 13, Pasteur, Milano",pasteur-rovereto,1300,40.0,3
"Trilocale via Termopili 38, Rovereto, Milano",pasteur-rovereto,1400,65.0,3
"Monolocale via dei Cybo 2, Pasteur, Milano",pasteur-rovereto,1300,42.0,3
"Bilocale viale Monza 81, Rovereto, Milano",pasteur-rovereto,1350,47.0,3
"Trilocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1500,90.0,3
"Bilocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1100,45.0,3
"Trilocale via Ferrante Aporti 54, Rovereto, Milano",pasteur-rovereto,1500,60.0,3
"Bilocale via Nicola d'Apulia 16, Rovereto, Milano",pasteur-rovereto,950,50.0,3
"Bilocale via Giulio e Corrado Venini 38, Pasteur, Milano",pasteur-rovereto,1000,50.0,3
"Trilocale viale Monza, Pasteur, Milano",pasteur-rovereto,1290,90.0,3
"Trilocale via Andrea Costa 33, Pasteur, Milano",pasteur-rovereto,2400,93.0,3
"Bilocale via Giulio e Corrado Venini 57, Pasteur, Milano",pasteur-rovereto,850,45.0,3
"Trilocale via Ferrante Aporti 54, Rovereto, Milano",pasteur-rovereto,1390,60.0,3
"Trilocale via Andrea Costa, Casoretto, Milano",pasteur-rovereto,1600,95.0,3
"Bilocale via Venini Giulio e Corrado 39, Pasteur, Milano",pasteur-rovereto,950,50.0,3
"Bilocale viale Monza 81, Rovereto, Milano",pasteur-rovereto,1450,48.0,3
"Monolocale viale Monza 53, Pasteur, Milano",pasteur-rovereto,900,44.0,3
"Bilocale via Termopili 4, Pasteur, Milano",pasteur-rovereto,1100,51.0,3
"Monolocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1000,40.0,3
"Bilocale via Roggia Scagna 10, Rovereto, Milano",pasteur-rovereto,1100,65.0,3
"Bilocale via Popoli Uniti, 7, Rovereto, Milano",pasteur-rovereto,850,51.0,3
"Bilocale via Giulio e Corrado Venini, Pasteur, Milano",pasteur-rovereto,1100,55.0,3
"Bilocale via Padova 82, Parco Trotter, Milano",pasteur-rovereto,790,40.0,3
"Bilocale via Guido Cavalcanti, Pasteur, Milano",pasteur-rovereto,1400,75.0,3
"Bilocale via Rovereto 7, Rovereto, Milano",pasteur-rovereto,1000,50.0,3
"Trilocale via Marco Aurelio  3, Pasteur, Milano",pasteur-rovereto,2650,100.0,3
"Monolocale via Padova 76, Parco Trotter, Milano",pasteur-rovereto,1000,30.0,3
"Bilocale ottimo stato, quarto piano, Pasteur, Milano",pasteur-rovereto,2150,100.0,3
"Bilocale via Arqua 10, Parco Trotter, Milano",pasteur-rovereto,700,40.0,3
"Monolocale via Arqua 18, Parco Trotter, Milano",pasteur-rovereto,700,35.0,3
"Monolocale via Padova 76, Parco Trotter, Milano",pasteur-rovereto,900,30.0,3
"Open space via Giulio e Corrado Venini 75, Rovereto, Milano",pasteur-rovereto,1000,55.0,3
"Bilocale via Clitumno 9, Parco Trotter, Milano",pasteur-rovereto,1120,50.0,3
"Monolocale via Ruggero Leoncavallo 39, Parco Trotter, Milano",pasteur-rovereto,700,26.0,3
"Trilocale via Andrea Costa 10, Casoretto, Milano",pasteur-rovereto,1300,75.0,3
"Bilocale via Martiri Oscuri, Rovereto, Milano",pasteur-rovereto,1200,48.0,3
"Bilocale via Francesco Predabissi 2, Parco Trotter, Milano",pasteur-rovereto,1200,65.0,3
"Trilocale viale Monza 91, Rovereto, Milano",pasteur-rovereto,1100,75.0,3
"Monolocale via Roggia Scagna 7, Rovereto, Milano",pasteur-rovereto,1100,46.0,3
"Bilocale via Martiri Oscuri, Rovereto, Milano",pasteur-rovereto,750,38.0,3
"Bilocale via Padova 82, Parco Trotter, Milano",pasteur-rovereto,700,40.0,3
"Bilocale via Predabissi, 4, Parco Trotter, Milano",pasteur-rovereto,1130,50.0,3
