Name,Zone,Price,Surface
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45
"Monolocale via Marco d'Agrate, Corvetto, Milano",corvetto-rogoredo,650,30
"Monolocale via Bessarione 46, Corvetto, Milano",corvetto-rogoredo,700,23
"Monolocale via Marco d'Agrate 21, Corvetto, Milano",corvetto-rogoredo,950,35
"Quadrilocale piazza Angilberto II 2, Corvetto, Milano",corvetto-rogoredo,1800,120
"Monolocale viale Enrico Martini 9, Corvetto, Milano",corvetto-rogoredo,830,28
"Monolocale corso Lodi 101, Corvetto, Milano",corvetto-rogoredo,950,37
"Trilocale corso Lodi 132, Corvetto, Milano",corvetto-rogoredo,1750,95
"Bilocale viale Bacchiglione 8, Corvetto, Milano",corvetto-rogoredo,800,45
"Monolocale via Mincio 12, Corvetto, Milano",corvetto-rogoredo,900,45
"Bilocale via Gardone, Corvetto, Milano",corvetto-rogoredo,1100,55
"Appartamento viale Bacchiglione 14, Corvetto, Milano",corvetto-rogoredo,1350,70
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1265,15
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1465,19
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1555,22
"Bilocale piazza Davide Sesia, Turro, Milano",precotto-turro,1150,57
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Bilocale via della Torre, Turro, Milano",precotto-turro,1000,50
"Bilocale via Esiodo, 1, Precotto, Milano",precotto-turro,900,50
"Bilocale via boiardo 8, Turro, Milano",precotto-turro,980,40
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60
"Bilocale via Enpedocle, Villa San Giovanni, Milano",precotto-turro,1050,65
"Bilocale ottimo stato, primo piano, Gorla, Milano",precotto-turro,900,50
"Bilocale via Frigia 5, Precotto, Milano",precotto-turro,1100,50
"Bilocale via Columella 8, Precotto, Milano",precotto-turro,1100,75
"Monolocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,500,20
"Bilocale via Privata Giancarlo Puecher, 7, 20127 Milano Italia, Turro, Milano",precotto-turro,1350,65
