Name,Zone,Price,Surface
"Appartamento all'asta via Fortezza, 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Grado 5A, Milano",precotto-turro,212677,130
"Appartamento all'asta via Cavezzali 11, Milano",precotto-turro,27750,15
"Appartamento all'asta via Grado 5A, Milano",precotto-turro,212678,118
"Appartamento all'asta via Grado 5, Milano",precotto-turro,212677,118
"Appartamento all'asta via Grado 5/A, Milano",precotto-turro,212677,120
"Appartamento all'asta via Francesco Cavezzali 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,58
"Appartamento all'asta via Grado 5/a, Milano",precotto-turro,212677,118
"Appartamento all'asta via Grado 5/A, Milano",precotto-turro,212677,120
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Cavezzali 11, Milano",precotto-turro,27750,15
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,56
"Appartamento all'asta via Grado 5/A, Milano",precotto-turro,212677,118
"Appartamento all'asta via Grado , 5A, Milano",precotto-turro,212677,118
"Appartamento all'asta via Francesco Cavezzali 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Grado , 5/a, Milano",precotto-turro,212677,118
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via privata grado, 5a, Milano",precotto-turro,212677,118
"Appartamento all'asta via Fortezza , 2, Milano",precotto-turro,81000,58
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Fortezza , 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Privata Grado, 5-A, Milano",precotto-turro,212677,118
"Appartamento all'asta via Della Fortezza, 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Fortezza , 2, Milano",precotto-turro,81000,58
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,84
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Grado, 5/A, Milano",precotto-turro,212677,120
"Appartamento all'asta via Fortezza , 2, Milano",precotto-turro,81000,39
"Appartamento all'asta via Grado 5/A, Milano",precotto-turro,212677,130
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Cavezzali, Milano",precotto-turro,27750,16
"Appartamento all'asta via Fortezza, 2, Milano",precotto-turro,81000,39
"Palazzo - stabile all'asta via Adelaide Bono Cairoli, 34, Milano",precotto-turro,4275000,3670
"Appartamento all'asta via privata Grado, Milano",precotto-turro,212677,118
"Appartamento all'asta via Privata Grado , 5/A, Milano",precotto-turro,212677,118
"Appartamento all'asta via Fortezza, 2, Milano",precotto-turro,81000,59
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,27750,16
"Appartamento all'asta via Cavezzali 11, Milano",precotto-turro,27750,16
"Palazzo - stabile all'asta via Adelaide Bono Cairoli, 34, Milano",precotto-turro,4275000,3594
"Appartamento all'asta via Grado 5/A, Milano",precotto-turro,212677,118
"Appartamento all'asta, Milano",precotto-turro,81000,41
"Appartamento all'asta via Fortezza 2, Milano",precotto-turro,81000,43
"Appartamento all'asta via Cavezzali , 11, Milano",precotto-turro,37000,16
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,92
"Appartamento all'asta via Arqua , 16, Milano",pasteur-rovereto,84000,75
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,90
"Appartamento all'asta via Clitumno, 11, Milano",pasteur-rovereto,33750,22
"Appartamento all'asta via Guinizelli, 6, Milano",pasteur-rovereto,32250,28
"Appartamento all'asta via Arqua, 16, Milano",pasteur-rovereto,84000,75
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,97
"Appartamento all'asta via Louis Pasteur 24, Milano",pasteur-rovereto,127500,65
"Appartamento all'asta via Arqua 16, Milano",pasteur-rovereto,84000,71
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,97
"Appartamento all'asta via Guido Guinizelli 6, Milano",pasteur-rovereto,32250,27
"Appartamento all'asta via Louis Pasteur 24, Milano",pasteur-rovereto,127500,65
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,97
"Appartamento all'asta via Andrea Costa 31, Milano",pasteur-rovereto,277500,97
"Appartamento all'asta via Louis Pasteur 24, Milano",pasteur-rovereto,127500,63
"Appartamento all'asta via Arqua 16, Milano",pasteur-rovereto,84000,78
"Appartamento all'asta via Louis Pasteur 24, Milano",pasteur-rovereto,127500,67
"Appartamento all'asta via Guido Guinizelli 6, Milano",pasteur-rovereto,32250,27
"Appartamento all'asta via Pietro Crespi 13, Milano",pasteur-rovereto,75000,35
"Appartamento all'asta via Guido Guinizelli 6, Milano",pasteur-rovereto,32250,27
"Appartamento all'asta via Venini 46, Milano",pasteur-rovereto,150000,69
"Appartamento all'asta via Guido Guinizelli 6, Milano",pasteur-rovereto,32250,27
"Appartamento all'asta via Clitumno 11, Milano",pasteur-rovereto,33750,22
